KIC,Porb
2167890,2.648
2438490,3.316
2445975,3.389
3351945,1.081
3558981,2.988
3953106,13.174
3954227,0.594
4367544,2.391
4679687,1.028
4815612,3.857
4929299,0.869
4946584,0.454
5014753,3.171
5181804,4.351
5370302,3.904
5647008,0.8
6058614,1.731
6191945,6.807
6209347,2.137
6370120,1.355
6432059,0.77
7025851,4.681
7107567,0.813
7269493,1.908
7295570,3.604
7449844,1.152
7593110,3.549
7811211,0.902
8019043,1.986
8112324,0.576
8365739,2.389
8669092,1.001
8935352,10.909
8953257,3.222
9002237,4.35
9119652,2.216
9178185,2.993
9288786,1.744
9328852,0.646
9366988,1.219
9411317,8.291
9478836,0.254
9532123,8.215
9642018,0.505
9706078,0.614
9752973,0.717
9839081,2.559
9936698,5.712
10158418,5.007
10676927,1.031
10710755,4.817
10711646,0.738
10735988,1.927
11182260,1.292
11189127,2.672
11234677,1.587
11285136,2.368
11303811,1.69
11347875,3.455
11403216,4.053
11455795,1.057
11867071,3.964
12255382,0.999
